episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S03E01,2,1,"00:00:04,221","00:00:05,861",DANIEL MOLLOY,on AMC  or wherever you get your podcasts.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.21; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC
S03E01,3,1,"00:00:12,012","00:00:13,926",RECAP ANNOUNCER,Previously on the show formerly titled.,confirmed,recap formula,,English,,
S03E01,4,1,"00:00:14,101","00:00:15,537",DANIEL MOLLOY,"""Interview With the Vampire""...",uncertain,best contextual candidate from text-only sources,recognition_margin=2.28; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT
S03E01,5,1,"00:00:15,711","00:00:17,843",DANIEL MOLLOY,"So, Mr. du Lac, how long have you been dead?",uncertain,best contextual candidate from text-only sources,recognition_margin=1.51; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC
S03E01,6,1,"00:00:17,974","00:00:20,324",LOUIS DE POINTE DU LAC,The year was 1910.,high,direct-address response context,,English,,
S03E01,7,1,"00:00:20,498","00:00:23,284",LESTAT DE LIONCOURT,"Louis, let me introduce you to Mr. Lestat de Lioncourt.",uncertain,best contextual candidate from text-only sources,recognition_margin=1.28; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC
S03E01,8,1,"00:00:23,458","00:00:25,218",LOUIS DE POINTE DU LAC,What exactly is the nature of your relationship,high,direct-address response context,,English,,
S03E01,9,1,"00:00:25,242","00:00:27,027",LOUIS DE POINTE DU LAC,"with my brother, Monsieur Lioncourt?",high,direct-address response context,,Mixed English/French,,
S03E01,10,1,"00:00:27,201","00:00:28,985",LESTAT DE LIONCOURT,"I can swap this life of shame,",high,exact dialogue match to an attributed source,,English,,
S03E01,11,1,"00:00:29,159","00:00:31,074",LESTAT DE LIONCOURT,swap it out for a dark gift.,high,exact dialogue match to an attributed source,,English,,
S03E01,12,1,"00:00:31,205","00:00:33,729",LESTAT DE LIONCOURT,Be my companion for all eternity.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.33; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY
S03E01,13,1,"00:00:33,903","00:00:35,557",LOUIS DE POINTE DU LAC,He had a way about him.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.31; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT
S03E01,14,1,"00:00:35,731","00:00:37,691",LESTAT DE LIONCOURT,"Preternaturally charming, occasionally thoughtful.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.18; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC
S03E01,15,1,"00:00:37,776","00:00:40,170",DANIEL MOLLOY,"He was my murderer, my mentor, my lover, and my maker.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.37; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC
S03E01,16,1,"00:00:40,344","00:00:41,737",LOUIS DE POINTE DU LAC,All of those things at once.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.23; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY
S03E01,17,1,"00:00:41,911","00:00:43,956",LOUIS DE POINTE DU LAC,Claudia was everything.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.33; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY
S03E01,18,1,"00:00:44,131","00:00:45,784",LOUIS DE POINTE DU LAC,The life of a vampire has its challenges.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.49; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT
S03E01,19,1,"00:00:51,268","00:00:53,575",LESTAT DE LIONCOURT,Can an immortal meet mortality?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.98; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC
S03E01,20,1,"00:00:53,749","00:00:55,577",LOUIS DE POINTE DU LAC,"Theoretically, it can be done.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.79; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY
S03E01,21,1,"00:00:55,751","00:00:58,362",LOUIS DE POINTE DU LAC,But could it be done by us to him?,uncertain,best contextual candidate from text-only sources,recognition_margin=1.70; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY
S03E01,22,1,"00:00:58,536","00:01:00,843",LESTAT DE LIONCOURT,Paris was an awakening for Louis.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.49; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC
S03E01,23,1,"00:01:00,973","00:01:02,801",LOUIS DE POINTE DU LAC,Paris was many things in those days.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.46; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY
S03E01,24,1,"00:01:05,065","00:01:07,980",LESTAT DE LIONCOURT,"Bonjour, mon amour.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.59; no episode audio used,Mixed English/French,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC
S03E01,24,2,"00:01:05,065","00:01:07,980",LESTAT DE LIONCOURT,"Are you schizophrenic, Louis?",uncertain,dash-turn alternation plus contextual text recognition,recognition_margin=0.21; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC
S03E01,25,1,"00:01:08,155","00:01:10,853",LOUIS DE POINTE DU LAC,"I could feel the movement of air with his movements,",high,direct-address response context,,English,,
S03E01,26,1,"00:01:11,027","00:01:13,029",LOUIS DE POINTE DU LAC,his breath on the back of my neck.,high,direct-address response context,,English,,
S03E01,27,1,"00:01:13,203","00:01:15,075",DANIEL MOLLOY,We were on trial for murder.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.30; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC
S03E01,28,1,"00:01:15,249","00:01:17,686",LOUIS DE POINTE DU LAC,Love has always been difficult for me.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.02; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY
S03E01,29,1,"00:01:17,860","00:01:20,167",LESTAT DE LIONCOURT,"My first paramour, Nicolas de Lenfent, a violinist.",uncertain,best contextual candidate from text-only sources,recognition_margin=1.03; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY
S03E01,30,1,"00:01:23,431","00:01:24,475",LESTAT DE LIONCOURT,Nicky!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.90; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC
S03E01,31,1,"00:01:29,524","00:01:30,979",NICOLAS DE LENFENT,You led him there so he could destroy it.,high,direct-address response context,,English,,
S03E01,32,1,"00:01:31,003","00:01:33,136",LESTAT DE LIONCOURT,Yes.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.27; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY
S03E01,32,2,"00:01:31,003","00:01:33,136",DANIEL MOLLOY,You saved Louis.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.28; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC
S03E01,33,1,"00:01:33,310","00:01:34,833",LESTAT DE LIONCOURT,Banishment.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.90; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC
