episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S02E03,2,1,"00:00:25,736","00:00:28,666",ARMAND,"Louis and Claudia, the Théâtre des Vampires.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.31; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E03,3,1,"00:00:28,710","00:00:30,646",DANIEL MOLLOY,What about the others out there?,confirmed,subtitle speaker label,,English,,
S02E03,4,1,"00:00:30,667","00:00:32,318",LOUIS DE POINTE DU LAC,Giddy to increase their numbers.,confirmed,subtitle speaker label,,English,,
S02E03,5,1,"00:00:32,336","00:00:33,795",ARMAND,The great conversion.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E03,6,1,"00:00:33,796","00:00:35,222",MAN,What you're about to see,confirmed,subtitle speaker label,,English,,
S02E03,7,1,"00:00:35,257","00:00:37,024",MAN,"is for you, an outrage.",confirmed,subtitle speaker label,,English,,
S02E03,8,1,"00:00:37,067","00:00:39,219",ARMAND,You were amazing.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.05; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E03,8,2,"00:00:37,067","00:00:39,219",DANIEL MOLLOY,Who's your maker?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.46; no episode audio used,English,,SANTIAGO | LOUIS DE POINTE DU LAC | CLAUDIA
S02E03,9,1,"00:00:39,245","00:00:41,458",LOUIS DE POINTE DU LAC,His name was Brent. We don't talk about him much.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.53; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E03,10,1,"00:00:41,493","00:00:43,417",LOUIS DE POINTE DU LAC,Who's that handsome man on the wall up there?,uncertain,best contextual candidate from text-only sources,recognition_margin=1.05; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E03,11,1,"00:00:43,444","00:00:45,726",ARMAND,"Our co-founder, Lestat de Lioncourt.",confirmed,subtitle speaker label,,English,,
S02E03,12,1,"00:00:45,752","00:00:48,227",DANIEL MOLLOY,That means you knew Lestat before he did.,confirmed,subtitle speaker label,,English,,
S02E03,13,1,"00:00:48,236","00:00:50,405",LOUIS DE POINTE DU LAC,"Yes, Armand knew Lestat.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.49; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
