episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S01E02,2,1,"00:00:15,809","00:00:19,274",DANIEL MOLLOY,"So, Mr. du Lac. How long have you been dead?",uncertain,best contextual candidate from text-only sources,recognition_margin=1.71; no episode audio used,English,,LESTAT DE LIONCOURT | FLORENCE | ALDERMAN FENWICK
S01E02,2,2,"00:00:20,079","00:00:22,143",LOUIS DE POINTE DU LAC,I'm saying you'd do it for 10%.,high,direct-address response context,,English,,
S01E02,3,1,"00:00:22,148","00:00:23,844",LOUIS DE POINTE DU LAC,10% for all the work?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.40; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | GRACE
S01E02,4,1,"00:00:23,849","00:00:25,345",LESTAT DE LIONCOURT,These men look down on you.,high,exact dialogue match to an attributed source,,English,,
S01E02,5,1,"00:00:25,350","00:00:26,580",LESTAT DE LIONCOURT,Do you not know your value?,high,exact dialogue match to an attributed source,,English,,
S01E02,6,1,"00:00:26,585","00:00:28,749",LOUIS DE POINTE DU LAC,He wouldn't tell me how he did it.,high,exact dialogue match to an attributed source,,English,,
S01E02,7,1,"00:00:28,754","00:00:31,585",LOUIS DE POINTE DU LAC,Don't do that here! Not with my family.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.70; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | FLORENCE
S01E02,8,1,"00:00:31,590","00:00:34,422",LOUIS DE POINTE DU LAC,I loved my brother more than anyone on Earth.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.68; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | FLORENCE
S01E02,9,1,"00:00:34,427","00:00:36,256",LOUIS DE POINTE DU LAC,Paul! Paul!,uncertain,best contextual candidate from text-only sources,recognition_margin=1.14; no episode audio used,English,,FLORENCE | GRACE | LESTAT DE LIONCOURT
S01E02,10,1,"00:00:36,261","00:00:38,426",FLORENCE,Paul's in Hell because of you.,high,exact dialogue match to an attributed source,,English,,
S01E02,11,1,"00:00:38,431","00:00:39,627",LOUIS DE POINTE DU LAC,"Help me, please!",uncertain,best contextual candidate from text-only sources,recognition_margin=1.14; no episode audio used,English,,LESTAT DE LIONCOURT | GRACE | DANIEL MOLLOY
S01E02,12,1,"00:00:39,632","00:00:41,500",LOUIS DE POINTE DU LAC,I laid down with the devil.,high,exact dialogue match to an attributed source,,English,,
S01E02,13,1,"00:00:41,505","00:00:43,705",LESTAT DE LIONCOURT,"Be my companion, Louis.",high,exact dialogue match to an attributed source,,English,,
S01E02,15,1,"00:01:21,470","00:01:23,567",DANIEL MOLLOY,It's Venetian.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.49; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | GRACE
S01E02,16,1,"00:01:23,572","00:01:26,108",DANIEL MOLLOY,A contemporary of Tintoretto's.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.01; no episode audio used,English,,LESTAT DE LIONCOURT | GRACE | FLORENCE
S01E02,17,1,"00:01:28,977","00:01:31,642",LESTAT DE LIONCOURT,"""Marius de Romanus"".",uncertain,best contextual candidate from text-only sources,recognition_margin=0.32; no episode audio used,English,,LOUIS DE POINTE DU LAC | FLORENCE | GRACE
S01E02,18,1,"00:01:31,647","00:01:32,976",LESTAT DE LIONCOURT,Never heard of him.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.20; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | GRACE
S01E02,19,1,"00:01:32,981","00:01:34,678",LOUIS DE POINTE DU LAC,Little of his work survives.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.09; no episode audio used,English,,DANIEL MOLLOY | GRACE | LESTAT DE LIONCOURT
S01E02,20,1,"00:01:34,683","00:01:37,286",LOUIS DE POINTE DU LAC,Mr. de Pointe du Lac covets the rare.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.41; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | FLORENCE
