episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S02E06,2,1,"00:00:26,460","00:00:28,560",LOUIS DE POINTE DU LAC,Pieces of my life gone.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.82; no episode audio used,English,,ARMAND | LESTAT DE LIONCOURT | DANIEL MOLLOY
S02E06,2,2,"00:00:28,610","00:00:31,480",LESTAT DE LIONCOURT,I knew who I was without those pieces.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.53; no episode audio used,English,,DANIEL MOLLOY | ARMAND | LOUIS DE POINTE DU LAC
S02E06,3,1,"00:00:32,560","00:00:36,350",DANIEL MOLLOY,No vampire must commit to writing the history of the vampires.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.02; no episode audio used,English,,ARMAND | LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT
S02E06,4,1,"00:00:36,370","00:00:38,360",ARMAND,Santiago wants to be coven leader.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.91; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LESTAT DE LIONCOURT
S02E06,5,1,"00:00:38,414","00:00:39,580",DANIEL MOLLOY,Others will follow him.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.98; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | LESTAT DE LIONCOURT
S02E06,6,1,"00:00:39,581","00:00:40,624",LOUIS DE POINTE DU LAC,You should think to leave.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.34; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | ARMAND
S02E06,7,1,"00:00:40,625","00:00:43,570",DANIEL MOLLOY,I'm staying in Paris... with you.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.28; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | ARMAND
S02E06,8,1,"00:00:45,462","00:00:47,030",DANIEL MOLLOY,You sold me a dress.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.18; no episode audio used,English,,SANTIAGO | LOUIS DE POINTE DU LAC | ARMAND
S02E06,9,1,"00:00:47,089","00:00:48,129",ARMAND,I liked you.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.05; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | LOUIS DE POINTE DU LAC
S02E06,10,1,"00:00:48,130","00:00:49,139",LOUIS DE POINTE DU LAC,"There's something broken in me,",uncertain,best contextual candidate from text-only sources,recognition_margin=1.68; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | ARMAND
S02E06,11,1,"00:00:49,140","00:00:50,910",LOUIS DE POINTE DU LAC,like I want to go bang.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.68; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | ARMAND
S02E06,11,2,"00:00:49,140","00:00:50,910",LESTAT DE LIONCOURT,"Well, go bang.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.15; no episode audio used,English,,DANIEL MOLLOY | ARMAND | LOUIS DE POINTE DU LAC
S02E06,12,1,"00:00:50,968","00:00:53,290",LOUIS DE POINTE DU LAC,I let you whine and have your say.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.19; no episode audio used,English,,LESTAT DE LIONCOURT | ARMAND | DANIEL MOLLOY
S02E06,13,1,"00:00:53,340","00:00:55,220",DANIEL MOLLOY,Most in my position will treat you no better,uncertain,best contextual candidate from text-only sources,recognition_margin=0.16; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC | ARMAND
S02E06,14,1,"00:00:55,260","00:00:57,250",DANIEL MOLLOY,than you treated your maker.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.16; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC | ARMAND
S02E06,15,1,"00:00:58,920","00:01:01,420",LOUIS DE POINTE DU LAC,"And the friend you made, you will not see again.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.50; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | ARMAND
S02E06,16,1,"00:01:01,470","00:01:03,479",LOUIS DE POINTE DU LAC,The name is Raglan James.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.21; no episode audio used,English,,LESTAT DE LIONCOURT | ARMAND | DANIEL MOLLOY
S02E06,17,1,"00:01:03,480","00:01:05,930",LOUIS DE POINTE DU LAC,"You're not the first to attempt this, Mr. Molloy.",uncertain,best contextual candidate from text-only sources,recognition_margin=1.46; no episode audio used,English,,ARMAND | LESTAT DE LIONCOURT | SANTIAGO
S02E06,18,1,"00:01:05,980","00:01:07,620",DANIEL MOLLOY,"I could give you the names of four others,",high,direct-address response context,,English,,
