episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S02E08,2,1,"00:00:25,651","00:00:28,320",LOUIS DE POINTE DU LAC,49 years and thousands of miles,high,exact dialogue match to an attributed source,,English,,
S02E08,2,2,"00:00:28,360","00:00:31,540",LOUIS DE POINTE DU LAC,removed from the room we shared in San Francisco.,uncertain,dash-turn alternation plus contextual text recognition,,English,,
S02E08,3,1,"00:00:31,590","00:00:35,900",LOUIS DE POINTE DU LAC,I offer for your journalistic pleasures my life story.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.92; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | ARMAND
S02E08,4,1,"00:00:37,246","00:00:41,320",LOUIS DE POINTE DU LAC,Take us back to the beginning of this story of butchery.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.07; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | ARMAND
S02E08,5,1,"00:00:41,375","00:00:43,209",LESTAT DE LIONCOURT,"I love you, Louis.",uncertain,best contextual candidate from text-only sources,recognition_margin=2.14; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E08,5,2,"00:00:41,375","00:00:43,209",LOUIS DE POINTE DU LAC,"I love you, too, baby brother.",high,direct-address response context,,English,,
S02E08,6,1,"00:00:43,210","00:00:46,620",LOUIS DE POINTE DU LAC,I could not join the transformation of those in attendance.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.85; no episode audio used,English,,ARMAND | DANIEL MOLLOY | LESTAT DE LIONCOURT
S02E08,7,1,"00:00:46,670","00:00:51,310",LOUIS DE POINTE DU LAC,He would not let me.,high,exact dialogue match to an attributed source,,English,,
S02E08,7,2,"00:00:46,670","00:00:51,310",LESTAT DE LIONCOURT,Come to me. Be my companion.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.07; no episode audio used,English,,ARMAND | LOUIS DE POINTE DU LAC | DANIEL MOLLOY
S02E08,8,1,"00:00:51,360","00:00:56,570",DANIEL MOLLOY,Session ten the vampire Louis and the vampire Armand.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.72; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | ARMAND
S02E08,9,1,"00:00:56,620","00:00:58,250",LESTAT DE LIONCOURT,I failed Louis once in my life.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.45; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | DANIEL MOLLOY
S02E08,10,1,"00:00:58,309","00:00:59,720",LOUIS DE POINTE DU LAC,It wasn't in San Francisco.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.68; no episode audio used,English,,LESTAT DE LIONCOURT | ARMAND | DANIEL MOLLOY
S02E08,11,1,"00:00:59,770","00:01:02,220",DANIEL MOLLOY,Why did I owe you my one act of cowardice?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.16; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | ARMAND
S02E08,12,1,"00:01:02,270","00:01:04,840",ARMAND,Silence!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.05; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC | SANTIAGO
S02E08,12,2,"00:01:02,270","00:01:04,840",DANIEL MOLLOY,You broke one of the great laws.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.25; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | ARMAND
S02E08,13,1,"00:01:04,890","00:01:07,820",DANIEL MOLLOY,I don't know any great laws. Lestat never told me shit.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.09; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | LESTAT DE LIONCOURT
S02E08,14,1,"00:01:07,850","00:01:09,810",ARMAND,We were on trial for murder.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT
S02E08,15,1,"00:01:09,862","00:01:12,570",LESTAT DE LIONCOURT,You were forced to watch.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.20; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | DANIEL MOLLOY
S02E08,15,2,"00:01:09,862","00:01:12,570",LOUIS DE POINTE DU LAC,Or they'd kill me.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.65; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E08,16,1,"00:01:12,620","00:01:14,326",LOUIS DE POINTE DU LAC,His name was Magnus. He took me from my room,uncertain,best contextual candidate from text-only sources,recognition_margin=0.41; no episode audio used,English,,ARMAND | LESTAT DE LIONCOURT | SANTIAGO
S02E08,17,1,"00:01:14,350","00:01:16,940",LOUIS DE POINTE DU LAC,as I kicked and screamed.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.41; no episode audio used,English,,ARMAND | LESTAT DE LIONCOURT | SANTIAGO
S02E08,17,2,"00:01:14,350","00:01:16,940",DANIEL MOLLOY,I want to get out alive.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.79; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC | ARMAND
S02E08,18,1,"00:01:16,990","00:01:18,300",DANIEL MOLLOY,You want a book.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.31; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | ARMAND
S02E08,19,1,"00:01:18,320","00:01:23,800",SANTIAGO,"What say you, for the vampire, Louis de Pointe du Lac?",high,exact dialogue match to an attributed source,,English,,
S02E08,20,1,"00:01:23,840","00:01:25,300",LESTAT DE LIONCOURT,Banishment.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.64; no episode audio used,English,,ARMAND | DANIEL MOLLOY | LOUIS DE POINTE DU LAC
S02E08,20,2,"00:01:23,840","00:01:25,300",ARMAND,Banishment.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.05; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E08,21,1,"00:01:25,320","00:01:26,336",LESTAT DE LIONCOURT,Banishment!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.64; no episode audio used,English,,ARMAND | DANIEL MOLLOY | LOUIS DE POINTE DU LAC
